"filename", "language", "XML", "Batch", "Markdown", "C#", "Shell Script", "comment", "blank", "total"
"e:\Documents\Programs\Chinese-Chess-v3\Assets\Font\Readme.md", "Markdown", 0, 0, 17, 0, 0, 0, 6, 23
"e:\Documents\Programs\Chinese-Chess-v3\Chinese-Chess-v3.csproj", "XML", 20, 0, 0, 0, 0, 1, 1, 22
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\BoardConstants.cs", "C#", 0, 0, 0, 22, 0, 16, 6, 44
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\BoardSettings.cs", "C#", 0, 0, 0, 13, 0, 13, 4, 30
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Bootstrap\UIInitializer.cs", "C#", 0, 0, 0, 20, 0, 15, 8, 43
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Controllers\MainMenuController.cs", "C#", 0, 0, 0, 53, 0, 8, 12, 73
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Controls\ScrollTextBox.cs", "C#", 0, 0, 0, 60, 0, 11, 19, 90
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\InitializableOnceElement.cs", "C#", 0, 0, 0, 25, 0, 31, 15, 71
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\BoardPanel.cs", "C#", 0, 0, 0, 0, 0, 8, 1, 9
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\GameMenuPanel.cs", "C#", 0, 0, 0, 0, 0, 8, 1, 9
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\MainMenuPanel.cs", "C#", 0, 0, 0, 87, 0, 25, 17, 129
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\SidebarPanel.cs", "C#", 0, 0, 0, 0, 0, 8, 1, 9
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\SidebarConstants.cs", "C#", 0, 0, 0, 8, 0, 9, 2, 19
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\SidebarSettings.cs", "C#", 0, 0, 0, 23, 0, 16, 9, 48
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\StarfieldRenderer.cs", "C#", 0, 0, 0, 361, 0, 121, 62, 544
"e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\UIRenderContext.cs", "C#", 0, 0, 0, 12, 0, 8, 4, 24
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Configs\EngineSettings.cs", "C#", 0, 0, 0, 11, 0, 12, 6, 29
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Geometry\LayoutF.cs", "C#", 0, 0, 0, 69, 0, 31, 23, 123
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Globals\GlobalWindow.cs", "C#", 0, 0, 0, 19, 0, 31, 8, 58
"e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsHelper.cs", "C#", 0, 0, 0, 16, 0, 8, 2, 26
"e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\ApplyVerticalSkew.cs", "C#", 0, 0, 0, 19, 0, 12, 4, 35
"e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\InvertedRoundedRectPath.cs", "C#", 0, 0, 0, 24, 0, 56, 12, 92
"e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\RoundedRectPath.cs", "C#", 0, 0, 0, 31, 0, 14, 7, 52
"e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\ShieldPath.cs", "C#", 0, 0, 0, 25, 0, 11, 7, 43
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Logging\AppLogger.cs", "C#", 0, 0, 0, 141, 0, 8, 20, 169
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Logging\LogFileManager.cs", "C#", 0, 0, 0, 13, 0, 8, 3, 24
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\MathUtil.cs", "C#", 0, 0, 0, 70, 0, 31, 18, 119
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\PositionHelper.cs", "C#", 0, 0, 0, 12, 0, 8, 2, 22
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\RangeF.cs", "C#", 0, 0, 0, 18, 0, 26, 6, 50
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\Vector2F.cs", "C#", 0, 0, 0, 169, 0, 244, 51, 464
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Physics\IPhysical2D.cs", "C#", 0, 0, 0, 7, 0, 19, 2, 28
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Physics\Physics2D.cs", "C#", 0, 0, 0, 202, 0, 187, 66, 455
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Physics\PhysicsRegistry.cs", "C#", 0, 0, 0, 29, 0, 36, 11, 76
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\GlobalRandom.cs", "C#", 0, 0, 0, 7, 0, 15, 2, 24
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\IRandomProvider.cs", "C#", 0, 0, 0, 15, 0, 53, 10, 78
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\RandomTable.cs", "C#", 0, 0, 0, 74, 0, 68, 17, 159
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\RandomTableThreadSafe.cs", "C#", 0, 0, 0, 96, 0, 68, 17, 181
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\WeightedRandomSelector.cs", "C#", 0, 0, 0, 29, 0, 21, 8, 58
"e:\Documents\Programs\Chinese-Chess-v3\Engine\SharedLib.csproj", "XML", 9, 0, 0, 0, 0, 1, 1, 11
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\BorderStyle.cs", "C#", 0, 0, 0, 9, 0, 8, 3, 20
"e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\DoubleBorderRoundedStyle.cs", "C#", 0, 0, 0, 58, 0, 10, 17, 85
