Date : 2025-10-29 01:41:54
Directory : e:\Documents\Programs\Chinese-Chess-v3
Total : 231 files,  10313 codes, 5802 comments, 2822 blanks, all 18937 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C#           |        223 |     10,183 |      5,784 |      2,788 |     18,755 |
| Markdown     |          2 |         46 |          0 |         20 |         66 |
| XML          |          3 |         39 |          3 |          3 |         45 |
| Shell Script |          1 |         39 |         15 |         10 |         64 |
| Batch        |          2 |          6 |          0 |          1 |          7 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        231 |     10,313 |      5,802 |      2,822 |     18,937 |
| . (Files)                                                                                              |          5 |         94 |         16 |         26 |        136 |
| Assets                                                                                                 |          1 |         17 |          0 |          6 |         23 |
| Assets\Font                                                                                            |          1 |         17 |          0 |          6 |         23 |
| DEPRECATED                                                                                             |         14 |        684 |        297 |        161 |      1,142 |
| DEPRECATED (Files)                                                                                     |          7 |        464 |        214 |        102 |        780 |
| DEPRECATED\Bootstrap                                                                                   |          1 |         20 |         15 |          8 |         43 |
| DEPRECATED\Controllers                                                                                 |          1 |         53 |          8 |         12 |         73 |
| DEPRECATED\Controls                                                                                    |          1 |         60 |         11 |         19 |         90 |
| DEPRECATED\Panels                                                                                      |          4 |         87 |         49 |         20 |        156 |
| Engine                                                                                                 |        103 |      4,642 |      3,267 |      1,500 |      9,409 |
| Engine (Files)                                                                                         |          1 |          9 |          1 |          1 |         11 |
| Engine\Configs                                                                                         |          1 |         11 |         12 |          6 |         29 |
| Engine\Geometry                                                                                        |          1 |         69 |         31 |         23 |        123 |
| Engine\Globals                                                                                         |          1 |         19 |         31 |          8 |         58 |
| Engine\GraphicsUtils                                                                                   |          5 |        115 |        101 |         32 |        248 |
| Engine\GraphicsUtils (Files)                                                                           |          1 |         16 |          8 |          2 |         26 |
| Engine\GraphicsUtils\GraphicsPaths                                                                     |          4 |         99 |         93 |         30 |        222 |
| Engine\Logging                                                                                         |          2 |        154 |         16 |         23 |        193 |
| Engine\Mathematics                                                                                     |          4 |        269 |        309 |         77 |        655 |
| Engine\Physics                                                                                         |          3 |        238 |        242 |         79 |        559 |
| Engine\Randomization                                                                                   |          5 |        221 |        225 |         54 |        500 |
| Engine\Styles                                                                                          |         11 |        374 |        125 |         94 |        593 |
| Engine\Timing                                                                                          |          4 |         69 |         91 |         25 |        185 |
| Engine\UI                                                                                              |         65 |      3,094 |      2,083 |      1,078 |      6,255 |
| Engine\UI\Constants                                                                                    |         11 |        191 |         99 |         80 |        370 |
| Engine\UI\Constants\Components                                                                         |          7 |        138 |         61 |         71 |        270 |
| Engine\UI\Constants\Core                                                                               |          3 |         42 |         27 |          8 |         77 |
| Engine\UI\Constants\Events                                                                             |          1 |         11 |         11 |          1 |         23 |
| Engine\UI\Core                                                                                         |         37 |      1,947 |      1,128 |        644 |      3,719 |
| Engine\UI\Core\Bases                                                                                   |          4 |        181 |        234 |        114 |        529 |
| Engine\UI\Core\Elements                                                                                |         11 |      1,012 |        431 |        320 |      1,763 |
| Engine\UI\Core\Handlers                                                                                |          7 |        287 |        125 |         76 |        488 |
| Engine\UI\Core\Interfaces                                                                              |          7 |         98 |        182 |         34 |        314 |
| Engine\UI\Core\Renderers                                                                               |          8 |        369 |        156 |        100 |        625 |
| Engine\UI\Dialog                                                                                       |          2 |         58 |         21 |         10 |         89 |
| Engine\UI\Infrastructure                                                                               |          5 |        327 |        158 |         93 |        578 |
| Engine\UI\Input                                                                                        |          6 |        481 |        528 |        214 |      1,223 |
| Engine\UI\Models                                                                                       |          2 |         40 |        103 |         22 |        165 |
| Engine\UI\Utils                                                                                        |          1 |         34 |         25 |          9 |         68 |
| Engine\UI\Widgets                                                                                      |          1 |         16 |         21 |          6 |         43 |
| Game                                                                                                   |         68 |      2,958 |      1,375 |        699 |      5,032 |
| Game\Configs                                                                                           |          5 |         81 |         45 |         20 |        146 |
| Game\Configs (Files)                                                                                   |          1 |          8 |          8 |          1 |         17 |
| Game\Configs\Board                                                                                     |          2 |         49 |         21 |         11 |         81 |
| Game\Configs\Sidebar                                                                                   |          2 |         24 |         16 |          8 |         48 |
| Game\Constants                                                                                         |          7 |        302 |        146 |         58 |        506 |
| Game\Constants\Game                                                                                    |          1 |         20 |         15 |          5 |         40 |
| Game\Constants\UI                                                                                      |          6 |        282 |        131 |         53 |        466 |
| Game\Core                                                                                              |         12 |        889 |        666 |        219 |      1,774 |
| Game\Core (Files)                                                                                      |          5 |        403 |        248 |         79 |        730 |
